username,password,userid,vehicleId,vehicleType,gpsId
Aarav,Aar@1234,CC-001,V001,M,G001
Vivaan,V@ivaan98,CC-002,V002,T,G002
Aditya,Aditya@24,CC-003,V003,S,G003
Vihaan,Viha@n09,CC-004,V004,M,G004
Arjun,Arj@un68,CC-005,V005,M,G005
Sai,Sai@6011,CC-006,V006,M,G006
Reyansh,R@eyan33,CC-007,V007,M,G007
Ayaan,Ay@n1122,CC-008,V008,M,G008
Krishna,Krish@135,CC-009,V009,M,G009
Ishaan,Ishaan@0,CC-010,V010,T,G010
Shaurya,Sh@urya97,CC-011,V011,T,G011
Atharv,Athrav#88,CC-012,V012,T,G012
Dhruv,Dhruuvv@2,CC-013,V013,H,G013
Kabir,Kabiirr#1,CC-014,V014,S,G014
Aarush,Aaru^sh55,CC-015,V015,H,G015
